iter	Passed	Remaining
0	129	129070
1	130	65183
2	132	43943
3	133	33295
4	135	26879
5	137	22728
6	138	19708
7	140	17429
8	142	15643
9	143	14202
10	145	13043
11	146	12075
12	148	11254
13	149	10534
14	150	9910
15	152	9359
16	153	8876
17	154	8442
18	156	8059
19	157	7706
20	158	7395
21	159	7106
22	161	6843
23	162	6601
24	163	6378
25	164	6171
26	166	5995
27	167	5816
28	168	5650
29	170	5501
30	171	5359
31	172	5232
32	174	5106
33	175	4986
34	176	4872
35	177	4766
36	179	4668
37	180	4572
38	181	4480
39	183	4394
40	184	4311
41	185	4239
42	187	4165
43	188	4093
44	189	4024
45	190	3958
46	192	3895
47	193	3838
48	194	3780
49	196	3725
50	197	3671
51	198	3619
52	199	3571
53	201	3523
54	202	3477
55	203	3432
56	204	3388
57	206	3352
58	207	3312
59	208	3273
60	210	3235
61	211	3198
62	212	3163
63	213	3128
64	215	3097
65	216	3065
66	217	3033
67	219	3007
68	220	2977
69	221	2948
70	223	2921
71	224	2894
72	226	2873
73	227	2848
74	229	2825
75	230	2802
76	231	2780
77	233	2757
78	234	2734
79	235	2712
80	237	2689
81	238	2667
82	238	2640
83	240	2619
84	241	2599
85	242	2580
86	244	2560
87	245	2549
88	247	2532
89	248	2514
90	249	2496
91	251	2478
92	252	2461
93	253	2444
94	254	2427
95	256	2410
96	257	2395
97	258	2379
98	259	2364
99	261	2351
100	262	2337
101	263	2322
102	265	2308
103	266	2294
104	267	2280
105	268	2266
106	270	2253
107	271	2240
108	272	2228
109	273	2216
110	275	2203
111	276	2192
112	277	2180
113	279	2171
114	280	2160
115	281	2148
116	282	2135
117	284	2123
118	285	2112
119	286	2101
120	287	2091
121	288	2078
122	290	2068
123	291	2059
124	292	2049
125	294	2039
126	295	2028
127	296	2018
128	297	2009
129	298	1999
130	299	1990
131	301	1980
132	302	1970
133	303	1961
134	304	1952
135	306	1945
136	307	1936
137	308	1929
138	310	1920
139	311	1912
140	312	1904
141	313	1893
142	314	1885
143	315	1877
144	317	1869
145	318	1861
146	319	1853
147	320	1847
148	322	1840
149	323	1832
150	324	1825
151	326	1819
152	327	1812
153	328	1805
154	329	1797
155	331	1790
156	332	1783
157	333	1776
158	334	1770
159	335	1763
160	336	1755
161	338	1748
162	339	1741
163	340	1735
164	341	1728
165	342	1722
166	344	1716
167	345	1710
168	346	1703
